Domestic Total Gross,Genre,Production Budget,MPAA Rating,Distributor,Release Date,Title,Foreign,OpeningWeekend,WidestRelease,CloseDate,In Release
,Horror,N/A,Unknown,IFC,"November 20, 2015",#Horror (2015) - Box Office Mojo,,,,,
"$52,384",Animation,N/A,R,Regent Releasing,"December 12, 2008",$9.99 (2008) - Box Office Mojo,"$655,970",$478,4 theaters,"January 21, 2010",280 days / 40 weeks
"$15,919",Thriller,N/A,Unrated,Truly Indie,"August 10, 2012",$upercapitalist (2012) - Box Office Mojo,,"$8,372",1 theaters,"August 30, 2012",
"$32,391,374",Romance,$7.5 million,PG-13,Fox Searchlight,"July 17, 2009",(500) Days of Summer (2009) - Box Office Mojo,"$28,331,360",,"1,048 theaters","November 22, 2009",133 days / 19 weeks
"$230,600",Comedy,N/A,R,Samuel Goldwyn,"October 23, 2009",(Untitled) (2009) - Box Office Mojo,,"$18,002",25 theaters,"December 10, 2009",
"$33,300,000",Drama,N/A,R,Columbia,,...And Justice for All (1979) - Box Office Mojo,,,,,
,Foreign,N/A,Not Yet Rated,Asia Releasing,"June 7, 2013",1 Mile Above (2013) - Box Office Mojo,,,,,
,Unknown,N/A,Unrated,Eros,"March 28, 2003",1+1=11 (2003) - Box Office Mojo,,"$92,342",18 theaters,,17 days / 2.4 weeks
"$2,404",Drama,N/A,Unrated,Kino Lorber,"September 23, 2016","1,000 Rupee Note (2016) - Box Office Mojo",,"$1,697",1 theaters,"September 29, 2016",7 days / 1 weeks
"$53,895",Foreign,N/A,Unrated,Film Movement,"October 24, 2014","1,000 Times Good Night (2014) - Box Office Mojo",n/a,"$24,120",24 theaters,"November 20, 2014",28 days / 4 weeks
"$74,865,517",Romantic Comedy,N/A,R,Warner Bros.,,10 (1979) - Box Office Mojo,,,,,
"$72,082,998",Thriller,N/A,PG-13,Paramount,"March 11, 2016",10 Cloverfield Lane (2016) - Box Office Mojo,"$38,134,000","$24,727,437","3,427 theaters","June 2, 2016",84 days / 12 weeks
"$14,616",Drama,N/A,Unrated,Cafe Pictures,"November 11, 2015",10 Days in a Madhouse (2015) - Box Office Mojo,,"$4,773",10 theaters,"November 22, 2015",12 days / 1.7 weeks
"$83,291",Comedy,N/A,R,ThinkFilm,"December 1, 2006",10 Items or Less (2006) - Box Office Mojo,"$1,315,931","$35,929",15 theaters,"December 21, 2006",21 days / 3 weeks
"$224,546",Documentary,N/A,Unrated,"Monterey Media, Inc.","April 27, 2007",10 Questions for the Dalai Lama (2007) - Box Office Mojo,"$259,941",,11 theaters,"December 20, 2007",224 days / 32 weeks
